Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-03-20,0,GBR,0,0,0,0,0
2020-03-21,0,GBR,0,0,0,0,0
2020-03-22,0,GBR,0,0,0,0,0
2020-03-23,0,GBR,0,0,0,0,0
2020-03-24,0,GBR,0,0,0,0,0
2020-03-25,0,GBR,0,0,0,0,0
2020-03-26,0,GBR,0,0,0,0,0
2020-03-27,0,GBR,0,0,0,0,0
2020-03-28,0,GBR,0,0,0,0,0
2020-03-29,0,GBR,0,0,0,0,0
2020-03-30,0,GBR,0,0,0,0,0
2020-03-31,0,GBR,0,0,0,0,0
2020-04-01,0,GBR,0,0,0,0,0
2020-04-02,0,GBR,9.79815794630609e-05,0,0,0,0
2020-04-03,0,GBR,0,0,0,0,0
2020-04-04,0,GBR,0,0,0,0,0
2020-04-05,0,GBR,0,0,0,0,0
2020-04-06,0,GBR,0,0,0,0,0
2020-04-07,0,GBR,0,0,0,0,0
2020-04-08,0,GBR,0,0,0,0,0
2020-04-09,0,GBR,0,0,0,0,0
2020-04-10,0,GBR,0,0,0,0,0
2020-04-11,0,GBR,0,0,0,0,0
2020-04-12,0,GBR,0,0,0,0,0
2020-04-13,0,GBR,0,0,0,0,0
2020-04-14,0,GBR,0,0,0,0,0
2020-04-15,0,GBR,0,0,0,0,0
2020-04-16,0,GBR,0,0,0,0,0
2020-04-17,0,GBR,0,0,0,0,0
2020-04-18,0,GBR,0,0,0,0,0
2020-04-19,0,GBR,0,0,0,0,0
2020-04-20,0,GBR,0,0,0,0,0
2020-04-21,0,GBR,0,0,0,0,0
2020-04-22,0,GBR,0,0,0,0,0
2020-04-23,0,GBR,0,0,0,0,0
2020-04-24,0,GBR,0,0,0,0,0
2020-04-25,0,GBR,0,0,0,0,0
2020-04-26,0,GBR,0,0,0,0,0
2020-04-27,0,GBR,0,0,0,0,0
2020-04-28,0,GBR,0,0,0,0,0
2020-04-29,0,GBR,0,0,0,0,0
2020-04-30,0,GBR,0,0,0,0,0
2020-05-01,0,GBR,0,0,0,0,0
2020-05-02,0,GBR,0,0,0,0,0
2020-05-03,0,GBR,0,0,0,0,0
2020-05-04,0,GBR,0,0,0,0,0
2020-05-05,0,GBR,0,0,0,0,0
2020-05-06,0,GBR,0,0,0,0,0
2020-05-07,0,GBR,0,0,0,0,0
